transaction_id,Account_id,transaction_amount,transaction_date,time_to_purchase,gas_type,gas_price_purchase,product_id,Location,Age,product_name
42200,1269,58.15,2023-01-01,16:00:00,X,58.15,7,7,52.0,Cappuccino
34780,1273,3.0,2023-01-01,19:00:00,,0.0,2,7,63.0,Croissant
39063,1275,38.86,2023-01-01,11:00:00,A,38.86,5,7,39.0,Bagel
42660,1276,3.5,2023-01-01,09:00:00,,0.0,7,7,49.0,Cappuccino
34195,1278,3.0,2023-01-01,12:00:00,,0.0,2,7,51.0,Croissant
42248,1278,3.5,2023-01-01,11:00:00,,0.0,7,7,51.0,Cappuccino
1563,1279,2.0,2023-01-01,17:00:00,,0.0,3,7,34.0,Tea
41738,1279,67.65,2023-01-01,18:00:00,A,67.65,7,7,34.0,Cappuccino
40990,1284,56.02,2023-01-01,14:00:00,A,56.02,6,7,40.0,Latte
42194,1285,3.5,2023-01-01,12:00:00,,0.0,7,7,36.0,Cappuccino
38579,1289,41.27,2023-01-01,17:00:00,B,41.27,4,7,51.0,Muffin
3085,1295,3.5,2023-01-01,07:00:00,,0.0,6,7,28.0,Latte
39932,1295,3.0,2023-01-01,14:00:00,,0.0,5,7,28.0,Bagel
35348,1298,45.61,2023-01-01,06:00:00,A,45.61,2,7,50.0,Croissant
33161,1299,2.5,2023-01-01,06:00:00,,0.0,1,7,27.0,Coffee
39024,1301,33.61,2023-01-01,20:00:00,B,33.61,5,7,54.0,Bagel
6668,1310,27.49,2023-01-01,14:00:00,B,27.49,10,7,60.0,RedBull
5437,1311,51.46,2023-01-01,20:00:00,A,51.46,10,7,21.0,RedBull
37718,1323,53.88,2023-01-01,12:00:00,B,53.88,4,7,53.0,Muffin
42404,1329,60.33,2023-01-01,16:00:00,A,60.33,7,7,45.0,Cappuccino
38842,1330,33.45,2023-01-01,10:00:00,B,33.45,5,7,45.0,Bagel
7766,1335,49.98,2023-01-01,14:00:00,B,49.98,10,7,19.0,RedBull
6547,1336,49.58,2023-01-01,17:00:00,X,49.58,10,7,24.0,RedBull
39310,1338,29.01,2023-01-01,08:00:00,A,29.01,5,7,18.0,Bagel
44291,1340,48.06,2023-01-01,15:00:00,A,48.06,8,7,64.0,Espresso
8943,1343,33.77,2023-01-01,19:00:00,A,33.77,10,7,58.0,RedBull
678,1346,3.0,2023-01-01,17:00:00,,0.0,2,7,39.0,Croissant
2851,1347,3.5,2023-01-01,09:00:00,,0.0,6,7,44.0,Latte
6300,1348,39.28,2023-01-01,09:00:00,B,39.28,10,7,24.0,RedBull
37781,1350,3.5,2023-01-01,15:00:00,,0.0,4,7,46.0,Muffin
40605,1350,3.5,2023-01-01,06:00:00,,0.0,6,7,46.0,Latte
33797,1352,2.5,2023-01-01,20:00:00,,0.0,1,7,48.0,Coffee
40104,1352,3.0,2023-01-01,08:00:00,,0.0,5,7,48.0,Bagel
33751,1357,37.96,2023-01-01,09:00:00,A,37.96,1,7,35.0,Coffee
8850,1358,42.68,2023-01-01,12:00:00,A,42.68,10,7,34.0,RedBull
1009,1360,3.0,2023-01-01,08:00:00,,0.0,2,7,39.0,Croissant
38496,1367,3.5,2023-01-01,16:00:00,,0.0,4,7,60.0,Muffin
41144,1370,3.5,2023-01-01,21:00:00,,0.0,6,7,64.0,Latte
35656,1376,34.53,2023-01-01,21:00:00,A,34.53,3,7,53.0,Tea
665,1378,3.0,2023-01-01,10:00:00,,0.0,2,7,39.0,Croissant
44469,1380,55.51,2023-01-01,16:00:00,X,55.51,8,7,45.0,Espresso
41403,1382,48.23,2023-01-01,22:00:00,A,48.23,6,7,19.0,Latte
41896,1383,28.5,2023-01-01,18:00:00,A,28.5,7,7,60.0,Cappuccino
43700,1387,2.5,2023-01-01,13:00:00,,0.0,8,7,54.0,Espresso
1454,1397,2.0,2023-01-01,11:00:00,,0.0,3,7,26.0,Tea
2649,1403,3.0,2023-01-01,10:00:00,,0.0,5,7,27.0,Bagel
41346,1408,67.93,2023-01-01,17:00:00,X,67.93,6,7,25.0,Latte
2880,1411,3.5,2023-01-01,15:00:00,,0.0,6,7,21.0,Latte
8793,1413,56.12,2023-01-01,17:00:00,B,56.12,10,7,51.0,RedBull
4495,1414,3.0,2023-01-01,08:00:00,,0.0,9,7,30.0,Hot Chocolate
843,1416,3.0,2023-01-01,06:00:00,,0.0,2,7,47.0,Croissant
43111,1417,25.81,2023-01-01,08:00:00,A,25.81,8,7,28.0,Espresso
35842,1422,72.66,2023-01-01,07:00:00,X,72.66,3,7,19.0,Tea
7820,1430,46.58,2023-01-01,06:00:00,X,46.58,10,7,25.0,RedBull
40381,1430,3.5,2023-01-01,10:00:00,,0.0,6,7,25.0,Latte
43029,1430,3.5,2023-01-01,20:00:00,,0.0,7,7,25.0,Cappuccino
42305,1431,3.5,2023-01-01,15:00:00,,0.0,7,7,63.0,Cappuccino
41037,1432,3.5,2023-01-01,19:00:00,,0.0,6,7,57.0,Latte
42220,1433,3.5,2023-01-01,13:00:00,,0.0,7,7,18.0,Cappuccino
37511,1436,3.5,2023-01-01,07:00:00,,0.0,4,7,61.0,Muffin
718,1438,3.0,2023-01-01,20:00:00,,0.0,2,7,27.0,Croissant
40746,1440,58.0,2023-01-01,11:00:00,A,58.0,6,7,52.0,Latte
44495,1441,2.5,2023-01-01,10:00:00,,0.0,8,7,24.0,Espresso
433,1442,2.5,2023-01-01,10:00:00,,0.0,1,7,20.0,Coffee
37010,1442,65.47,2023-01-01,07:00:00,X,65.47,3,7,20.0,Tea
44349,1443,2.5,2023-01-01,10:00:00,,0.0,8,7,48.0,Espresso
37159,1450,3.5,2023-01-01,10:00:00,,0.0,4,7,22.0,Muffin
41009,1452,54.12,2023-01-01,18:00:00,B,54.12,6,7,19.0,Latte
44321,1453,47.88,2023-01-01,09:00:00,A,47.88,8,7,56.0,Espresso
41817,1456,28.64,2023-01-01,16:00:00,B,28.64,7,7,58.0,Cappuccino
5127,1460,42.8,2023-01-01,16:00:00,B,42.8,10,7,46.0,RedBull
3516,1462,3.5,2023-01-01,12:00:00,,0.0,7,7,62.0,Cappuccino
1771,1466,3.5,2023-01-01,18:00:00,,0.0,4,7,23.0,Muffin
7138,1466,74.14,2023-01-01,20:00:00,A,74.14,10,7,23.0,RedBull
3239,1483,3.5,2023-01-01,15:00:00,,0.0,6,7,36.0,Latte
3680,1485,3.5,2023-01-01,14:00:00,,0.0,7,7,52.0,Cappuccino
36856,1486,2.0,2023-01-01,11:00:00,,0.0,3,7,50.0,Tea
40764,1489,80.79,2023-01-01,20:00:00,X,80.79,6,7,53.0,Latte
33244,1493,39.05,2023-01-01,12:00:00,B,39.05,1,7,45.0,Coffee
37981,1496,47.41,2023-01-01,19:00:00,A,47.41,4,7,27.0,Muffin
34432,1497,3.0,2023-01-01,07:00:00,,0.0,2,7,32.0,Croissant
17464,1505,63.65,2023-01-01,13:00:00,B,63.65,10,7,45.0,RedBull
18212,1508,43.03,2023-01-01,06:00:00,B,43.03,10,7,49.0,RedBull
12770,1512,3.0,2023-01-01,20:00:00,,0.0,5,7,46.0,Bagel
15978,1528,39.43,2023-01-01,06:00:00,B,39.43,10,7,57.0,RedBull
10393,1531,2.5,2023-01-01,13:00:00,,0.0,1,7,27.0,Coffee
18343,1536,72.79,2023-01-01,12:00:00,X,72.79,10,7,40.0,RedBull
19586,1537,42.01,2023-01-01,16:00:00,B,42.01,10,7,18.0,RedBull
13636,1543,3.5,2023-01-01,16:00:00,,0.0,7,7,21.0,Cappuccino
18629,1550,79.5,2023-01-01,18:00:00,A,79.5,10,7,52.0,RedBull
14713,1552,3.0,2023-01-01,17:00:00,,0.0,9,7,34.0,Hot Chocolate
12308,1553,3.0,2023-01-01,20:00:00,,0.0,5,7,38.0,Bagel
19615,1553,37.18,2023-01-01,20:00:00,A,37.18,10,7,38.0,RedBull
15372,1564,45.83,2023-01-01,10:00:00,X,45.83,10,7,45.0,RedBull
17937,1565,28.36,2023-01-01,12:00:00,B,28.36,10,7,41.0,RedBull
18597,1570,63.63,2023-01-01,16:00:00,A,63.63,10,7,29.0,RedBull
19075,1570,53.92,2023-01-01,12:00:00,B,53.92,10,7,29.0,RedBull
12161,1578,3.5,2023-01-01,16:00:00,,0.0,4,7,56.0,Muffin
15857,1585,78.68,2023-01-01,06:00:00,A,78.68,10,7,53.0,RedBull
11355,1587,2.0,2023-01-01,06:00:00,,0.0,3,7,42.0,Tea
17440,1591,49.3,2023-01-01,08:00:00,X,49.3,10,7,21.0,RedBull
14264,1602,2.5,2023-01-01,11:00:00,,0.0,8,7,27.0,Espresso
11078,1618,3.0,2023-01-01,14:00:00,,0.0,2,7,33.0,Croissant
13254,1623,3.5,2023-01-01,09:00:00,,0.0,6,7,27.0,Latte
17531,1625,31.35,2023-01-01,07:00:00,X,31.35,10,7,38.0,RedBull
18084,1631,52.18,2023-01-01,06:00:00,B,52.18,10,7,50.0,RedBull
12240,1635,3.5,2023-01-01,17:00:00,,0.0,4,7,39.0,Muffin
17883,1641,58.41,2023-01-01,14:00:00,B,58.41,10,7,27.0,RedBull
12304,1650,3.0,2023-01-01,16:00:00,,0.0,5,7,30.0,Bagel
13897,1656,3.5,2023-01-01,14:00:00,,0.0,7,7,33.0,Cappuccino
16025,1672,58.16,2023-01-01,13:00:00,A,58.16,10,7,38.0,RedBull
10362,1674,2.5,2023-01-01,15:00:00,,0.0,1,7,24.0,Coffee
18836,1675,42.34,2023-01-01,14:00:00,X,42.34,10,7,47.0,RedBull
11658,1680,3.5,2023-01-01,19:00:00,,0.0,4,7,36.0,Muffin
15724,1689,51.3,2023-01-01,07:00:00,B,51.3,10,7,18.0,RedBull
16137,1696,49.5,2023-01-01,09:00:00,B,49.5,10,7,19.0,RedBull
18132,1698,26.45,2023-01-01,10:00:00,X,26.45,10,7,50.0,RedBull
12394,1700,3.0,2023-01-01,16:00:00,,0.0,5,7,38.0,Bagel
18650,1703,36.8,2023-01-01,14:00:00,X,36.8,10,7,57.0,RedBull
16827,1709,30.05,2023-01-01,09:00:00,A,30.05,10,7,33.0,RedBull
14150,1713,2.5,2023-01-01,19:00:00,,0.0,8,7,40.0,Espresso
10126,1728,2.5,2023-01-01,06:00:00,,0.0,1,7,22.0,Coffee
10832,1737,3.0,2023-01-01,18:00:00,,0.0,2,7,30.0,Croissant
13037,1748,3.5,2023-01-01,08:00:00,,0.0,6,7,60.0,Latte
12018,1751,3.5,2023-01-01,19:00:00,,0.0,4,7,44.0,Muffin
15328,1758,62.81,2023-01-01,19:00:00,X,62.81,10,7,31.0,RedBull
19141,1777,60.47,2023-01-01,14:00:00,B,60.47,10,7,53.0,RedBull
13230,1789,3.5,2023-01-01,09:00:00,,0.0,6,7,63.0,Latte
15721,1801,54.04,2023-01-01,09:00:00,B,54.04,10,7,28.0,RedBull
12183,1807,3.5,2023-01-01,07:00:00,,0.0,4,7,50.0,Muffin
16989,1812,39.24,2023-01-01,09:00:00,A,39.24,10,7,53.0,RedBull
15347,1832,62.5,2023-01-01,07:00:00,A,62.5,10,7,30.0,RedBull
18470,1833,53.8,2023-01-01,20:00:00,X,53.8,10,7,18.0,RedBull
13224,1842,3.5,2023-01-01,06:00:00,,0.0,6,7,57.0,Latte
19684,1842,63.59,2023-01-01,10:00:00,X,63.59,10,7,57.0,RedBull
18041,1843,56.58,2023-01-01,13:00:00,B,56.58,10,7,45.0,RedBull
18728,1857,58.01,2023-01-01,16:00:00,X,58.01,10,7,62.0,RedBull
12579,1863,3.0,2023-01-01,16:00:00,,0.0,5,7,38.0,Bagel
11900,1864,3.5,2023-01-01,19:00:00,,0.0,4,7,50.0,Muffin
16579,1865,58.55,2023-01-01,17:00:00,A,58.55,10,7,25.0,RedBull
11864,1867,3.5,2023-01-01,06:00:00,,0.0,4,7,32.0,Muffin
17679,1868,74.52,2023-01-01,06:00:00,X,74.52,10,7,52.0,RedBull
17309,1871,48.19,2023-01-01,13:00:00,X,48.19,10,7,54.0,RedBull
19125,1877,30.46,2023-01-01,07:00:00,X,30.46,10,7,45.0,RedBull
11563,1882,2.0,2023-01-01,12:00:00,,0.0,3,7,44.0,Tea
16698,1886,72.93,2023-01-01,18:00:00,A,72.93,10,7,21.0,RedBull
19181,1889,64.44,2023-01-01,17:00:00,B,64.44,10,7,54.0,RedBull
13071,1892,3.5,2023-01-01,11:00:00,,0.0,6,7,30.0,Latte
16591,1895,59.9,2023-01-01,11:00:00,A,59.9,10,7,57.0,RedBull
18506,1908,51.91,2023-01-01,12:00:00,X,51.91,10,7,56.0,RedBull
11192,1933,2.0,2023-01-01,08:00:00,,0.0,3,7,20.0,Tea
16191,1944,74.93,2023-01-01,18:00:00,X,74.93,10,7,42.0,RedBull
18392,1947,59.28,2023-01-01,09:00:00,X,59.28,10,7,59.0,RedBull
15345,1956,73.87,2023-01-01,09:00:00,A,73.87,10,7,60.0,RedBull
18088,1973,62.48,2023-01-01,15:00:00,A,62.48,10,7,63.0,RedBull
17347,1982,40.61,2023-01-01,14:00:00,X,40.61,10,7,57.0,RedBull
18689,1982,86.95,2023-01-01,13:00:00,A,86.95,10,7,57.0,RedBull
10038,1988,2.5,2023-01-01,16:00:00,,0.0,1,7,59.0,Coffee
19559,1996,59.1,2023-01-01,17:00:00,X,59.1,10,7,,RedBull
28599,2016,3.5,2023-01-01,18:00:00,,0.0,6,7,38.0,Latte
21870,2035,3.5,2023-01-01,08:00:00,,0.0,6,7,47.0,Latte
27258,2035,33.23,2023-01-01,20:00:00,X,33.23,10,7,47.0,RedBull
27566,2049,36.55,2023-01-01,19:00:00,A,36.55,10,7,58.0,RedBull
20354,2058,3.0,2023-01-01,06:00:00,,0.0,2,7,24.0,Croissant
25976,2061,22.02,2023-01-01,07:00:00,X,22.02,10,7,32.0,RedBull
24102,2065,40.32,2023-01-01,08:00:00,B,40.32,10,7,21.0,RedBull
23886,2069,72.13,2023-01-01,07:00:00,A,72.13,10,7,34.0,RedBull
29782,2072,30.78,2023-01-01,19:00:00,X,30.78,10,7,18.0,RedBull
20149,2080,2.5,2023-01-01,07:00:00,,0.0,1,7,37.0,Coffee
29769,2083,63.82,2023-01-01,19:00:00,B,63.82,10,7,54.0,RedBull
22545,2095,2.5,2023-01-01,08:00:00,,0.0,8,7,27.0,Espresso
26464,2107,3.0,2023-01-01,20:00:00,,0.0,5,7,41.0,Bagel
27713,2126,45.24,2023-01-01,20:00:00,A,45.24,10,7,40.0,RedBull
20164,2128,2.5,2023-01-01,08:00:00,,0.0,1,7,65.0,Coffee
20258,2150,2.5,2023-01-01,07:00:00,,0.0,1,7,63.0,Coffee
20282,2160,2.5,2023-01-01,08:00:00,,0.0,1,7,,Coffee
21033,2173,2.0,2023-01-01,07:00:00,,0.0,3,7,,Tea
28897,2181,3.0,2023-01-01,18:00:00,,0.0,9,7,27.0,Hot Chocolate
26432,2193,3.5,2023-01-01,19:00:00,,0.0,4,7,61.0,Muffin
23594,2194,33.65,2023-01-01,07:00:00,A,33.65,10,7,,RedBull
25818,2201,43.01,2023-01-01,08:00:00,B,43.01,10,7,27.0,RedBull
27311,2214,50.87,2023-01-01,20:00:00,B,50.87,10,7,,RedBull
22793,2215,3.0,2023-01-01,06:00:00,,0.0,9,7,,Hot Chocolate
24215,2242,29.64,2023-01-01,08:00:00,B,29.64,10,7,,RedBull
21137,2268,3.5,2023-01-01,06:00:00,,0.0,4,7,37.0,Muffin
26828,2274,2.5,2023-01-01,20:00:00,,0.0,8,7,31.0,Espresso
24912,2277,51.92,2023-01-01,06:00:00,X,51.92,10,7,50.0,RedBull
20764,2282,2.0,2023-01-01,08:00:00,,0.0,3,7,57.0,Tea
27817,2283,48.86,2023-01-01,19:00:00,X,48.86,10,7,64.0,RedBull
29913,2293,34.75,2023-01-01,19:00:00,A,34.75,10,7,,RedBull
21900,2307,3.5,2023-01-01,06:00:00,,0.0,6,7,,Latte
29609,2311,46.5,2023-01-01,18:00:00,X,46.5,10,7,,RedBull
22431,2327,2.5,2023-01-01,06:00:00,,0.0,8,7,33.0,Espresso
29990,2327,43.93,2023-01-01,19:00:00,X,43.93,10,7,33.0,RedBull
24734,2331,30.25,2023-01-01,07:00:00,X,30.25,10,7,56.0,RedBull
28123,2331,3.0,2023-01-01,18:00:00,,0.0,2,7,56.0,Croissant
26600,2347,3.5,2023-01-01,19:00:00,,0.0,6,7,37.0,Latte
27593,2350,64.32,2023-01-01,20:00:00,B,64.32,10,7,52.0,RedBull
28823,2355,2.5,2023-01-01,18:00:00,,0.0,8,7,63.0,Espresso
24467,2368,54.32,2023-01-01,08:00:00,X,54.32,10,7,32.0,RedBull
29680,2379,30.35,2023-01-01,18:00:00,X,30.35,10,7,41.0,RedBull
25118,2408,45.58,2023-01-01,07:00:00,X,45.58,10,7,19.0,RedBull
26121,2412,3.0,2023-01-01,20:00:00,,0.0,2,7,,Croissant
25772,2421,25.69,2023-01-01,07:00:00,B,25.69,10,7,33.0,RedBull
23306,2423,58.38,2023-01-01,06:00:00,X,58.38,10,7,,RedBull
24113,2423,74.02,2023-01-01,08:00:00,B,74.02,10,7,,RedBull
29988,2433,57.95,2023-01-01,19:00:00,X,57.95,10,7,,RedBull
27182,2448,70.28,2023-01-01,19:00:00,B,70.28,10,7,24.0,RedBull
21022,2453,2.0,2023-01-01,08:00:00,,0.0,3,7,24.0,Tea
21343,2456,3.5,2023-01-01,07:00:00,,0.0,4,7,64.0,Muffin
23680,2463,40.31,2023-01-01,08:00:00,B,40.31,10,7,26.0,RedBull
24170,2463,24.57,2023-01-01,08:00:00,X,24.57,10,7,26.0,RedBull
27920,2463,63.65,2023-01-01,20:00:00,A,63.65,10,7,26.0,RedBull
23987,2471,52.72,2023-01-01,08:00:00,X,52.72,10,7,41.0,RedBull
27951,2490,68.13,2023-01-01,20:00:00,A,68.13,10,7,57.0,RedBull
21620,2495,3.0,2023-01-01,07:00:00,,0.0,5,7,57.0,Bagel
28754,2513,2.5,2023-01-01,19:00:00,,0.0,8,7,,Espresso
21569,2516,3.0,2023-01-01,07:00:00,,0.0,5,7,,Bagel
26319,2526,2.0,2023-01-01,19:00:00,,0.0,3,7,,Tea
26958,2528,3.0,2023-01-01,20:00:00,,0.0,9,7,,Hot Chocolate
27442,2528,44.52,2023-01-01,19:00:00,X,44.52,10,7,,RedBull
27168,2529,66.76,2023-01-01,19:00:00,X,66.76,10,7,,RedBull
28495,2537,3.0,2023-01-01,18:00:00,,0.0,5,7,,Bagel
28078,2548,2.5,2023-01-01,19:00:00,,0.0,1,7,,Coffee
20276,2613,2.5,2023-01-01,08:00:00,,0.0,1,7,,Coffee
29491,2618,67.79,2023-01-01,18:00:00,X,67.79,10,7,,RedBull
26399,2622,3.5,2023-01-01,20:00:00,,0.0,4,7,,Muffin
26255,2624,2.0,2023-01-01,19:00:00,,0.0,3,7,,Tea
25832,2626,23.39,2023-01-01,07:00:00,A,23.39,10,7,,RedBull
29897,2655,44.21,2023-01-01,18:30:00,X,44.21,10,7,,RedBull
28890,2658,3.0,2023-01-01,19:00:00,,0.0,9,7,,Hot Chocolate
22697,2671,2.5,2023-01-01,08:00:00,,0.0,8,7,,Espresso
29146,2676,29.26,2023-01-01,18:30:00,B,29.26,10,7,,RedBull
24448,2677,50.61,2023-01-01,06:00:00,A,50.61,10,7,,RedBull
20868,2686,2.0,2023-01-01,08:00:00,,0.0,3,7,,Tea
25662,2693,43.62,2023-01-01,07:00:00,A,43.62,10,7,,RedBull
31932,2706,21.99,2023-01-01,23:00:00,X,21.99,10,7,,RedBull
32086,2734,47.15,2023-01-01,23:00:00,X,47.15,10,7,,RedBull
